"target_name","target_mean","target_non_zero_count"
"DDX11L1",0.000212969864764136,2
"WASH7P",0.00415291236290065,39
"OR4G4P",0.000638909594292408,6
"OR4G11P",0.00212969864764136,20
"OR4F5",0.00149078905334895,14
"CICP27",0.0945586199552763,823
"ENSG00000268903",0.0143754658715792,132
"ENSG00000269981",0.0254498988393142,231
"DDX11L17",0.000106484932382068,1
"WASH9P",0.00383345756575445,36
"ENSG00000228463",0.636140986050474,3489
"RPL23AP24",0,0
"ENSG00000237094",0.193163667341071,1548
"WBP1LP7",0,0
"OR4F29",0,0
"CICP7",0,0
"ENSG00000250575",0.00479182195719306,44
"ENSG00000230021",0.0841230965818337,727
"MT-MTND1P23",0.114045362581195,975
"MT-MTND2P28",1.38845703332978,6182
"MT-MTCO1P12",0.0434458524118837,389
"MT-MTCO2P12",0.0249174741774039,229
"MT-MTATP8P1",0.00170375891811309,16
"MT-MTATP6P1",5.1834735384943,8583
"MT-MTCO3P12",0.0171440741135129,159
"WBP1LP6",0.000425939729528272,4
"OR4F16",0,0
"CICP3",0.000425939729528272,4
"ENSG00000228327",0.0906186774571398,791
"ENSG00000285268",0.00138430412096688,13
"ENSG00000230092",0.0119263124267916,109
"TUBB8P11",0.000106484932382068,1
"ENSG00000283040",0,0
"SAMD11",0.0237461399212011,181
"NOC2L",2.32115855606432,7198
"KLHL17",0.0872111596209136,767
"PLEKHN1",0.012565222021084,111
"PERM1",0.0117133425620275,105
"HES4",0.574592695133639,3322
"ISG15",0.721115962091364,4131
"ENSG00000231702",0.000425939729528272,4
"AGRN",0.228303695027154,1786
"ENSG00000217801",0.508785006921521,2795
"RNF223",0.00745394526674476,69
"C1orf159",0.187732935789586,1556
"TTLL10",0.00575018634863167,54
"TNFRSF18",0.000425939729528272,4
"TNFRSF4",0.00159727398573102,15
"SDF4",1.877648812693,7110
"B3GALT6",0.210733681184112,1677
"C1QTNF12",0.0106484932382068,99
"UBE2J2",1.4625705462677,6377
"SCNN1D",0.00873176445532957,82
"ACAP3",0.218081141518475,1744
"PUSL1",0.724204025130444,4307
"INTS11",1.47545522308593,6506
"CPTP",0.28580555851347,2201
"TAS1R3",0.00415291236290065,39
"DVL1",0.225109147055692,1790
"MXRA8",0.0746459375998296,636
"AURKAIP1",10.0833777020552,9037
"NDUFB4P8",0.00138430412096688,13
"CCNL2",0.823767436907678,4709
"MRPL20",5.81429027792567,8650
"ANKRD65",0.00106484932382068,10
"TMEM88B",0.000319454797146204,3
"VWA1",0.0320519646470024,288
"ATAD3C",0.046959855180492,421
"ATAD3B",0.712703652433181,4067
"ENSG00000284740",0.00851879459056543,80
"ATAD3A",0.687679693323395,4084
"TMEM240",0.0119263124267916,111
"SSU72",5.1431157491215,8632
"ENSG00000274481",0,0
"FNDC10",0.0483441593014588,418
"MIB2",0.267809604940901,2106
"MMP23B",0.00500479182195719,46
"CDK11B",0.574486210201257,3750
"SLC35E2B",0.146523266957725,1238
"ENSG00000269737",0.0174635289106591,163
"MMP23A",0,0
"CDK11A",0.67351719731658,4147
"ENSG00000227775",0.0118198274944095,110
"SLC35E2A",0.0667660526035566,610
"NADK",0.578000212969865,3869
"GNB1",1.4471302310723,6281
"CALML6",0.000319454797146204,3
"TMEM52",0.214034714087957,1684
"CFAP74",0.0293898413374508,272
"GABRD",0.014162496006815,120
"PRKCZ",0.0633585347673304,553
"FAAP20",4.14002768608242,8483
"SKI",0.245980193802577,1932
"MORN1",0.0668725375359387,590
"ENSG00000269896",0.000745394526674476,7
"RER1",3.19433500159727,8026
"PEX10",0.1781492918752,1451
"PLCH2",0.000638909594292408,6
"PANK4",0.13544883398999,1156
"HES5",0.000638909594292408,2
"TNFRSF14",0.115536151634544,910
"PRXL2B",0.217868171653711,1680
"MMEL1",0.000319454797146204,3
"TTC34",0.0166116494516026,156
"ACTRT2",0,0
"PRDM16",0.00543073155148547,51
"ARHGEF16",0.0168246193163667,152
"MEGF6",0.00383345756575445,34
"TPRG1L",0.137578532637632,1145
"WRAP73",0.567032264934512,3740
"TP73",0.0816739431370461,694
"TP73-AS1",0.188265360451496,1561
"CCDC27",0.00841230965818337,79
"SMIM1",2.40293898413374,7177
"LRRC47",0.94079437759557,5092
"CEP104",0.636886380577148,3962
"DFFB",0.13438398466617,1098
"C1orf174",0.822383132786711,4694
"EEF1DP6",0,0
"AJAP1",0.00149078905334895,14
"MT-ENSG00000283356",0,0
"NPHP4",0.0882760089447343,750
"KCNAB2",0.153125332765414,1273
"CHD5",0.00117133425620275,11
"ENSG00000285629",0.00170375891811309,16
"RPL22",3.10744329677351,7637
"RNF207",0.126930039399425,1067
"ICMT",0.688425087850069,4244
"HES3",0,0
"GPR153",0.0111809179001171,101
"ACOT7",0.888297305931211,4629
"HES2",0.0220423810030881,197
"ESPN",0.146629751890108,907
"TNFRSF25",0.00873176445532957,81
"PLEKHG5",0.00383345756575445,36
"NOL9",1.17601959322756,5635
"ENSG00000229519",0.00500479182195719,47
"TAS1R1",0.00191672878287722,18
"ZBTB48",0.297944840805026,2273
"KLHL21",0.35480779469705,2536
"PHF13",0.202853796187839,1628
"THAP3",0.295282717495474,2281
"DNAJC11",0.440315195399851,2990
"CAMTA1",2.16313491640933,7203
"ENSG00000227950",0.00138430412096688,13
"VAMP3",0.550101160685763,3669
"PER3",0.33521456713875,2444
"UTS2",0.00202321371525929,15
"TNFRSF9",0.0473857949100202,397
"ENSG00000270330",0,0
"PARK7",11.0513257374082,9081
"ERRFI1",0.0619742306463635,504
"ENSG00000232848",0.0123522521563199,116
"ENSG00000229305",0.000106484932382068,1
"SLC45A1",0.000745394526674476,7
"RERE",0.654243424555425,4048
"ENSG00000270282",0.00191672878287722,18
"RPL7P11",0.000958364391438611,9
"RPL7P7",0.00383345756575445,36
"ENSG00000226545",0.00447236716004685,42
"RPL23AP19",0.00287509317431583,27
"ENO1",18.8497497604089,9300
"HMGN2P17",0.00500479182195719,47
"ENSG00000232208",0.000106484932382068,1
"ENSG00000232663",0,0
"CA6",0.0148014056011074,136
"SLC2A7",0,0
"SLC2A5",0.0136300713449047,126
"GPR157",0.0265147481631349,242
"H6PD",0.0566499840272601,508
"SPSB1",0.00330103290384411,28
"RNA5SP40",0,0
"SLC25A33",0.746352891065914,4389
"ENSG00000231181",0.00521776168672133,48
"TMEM201",0.165903524651262,1362
"PIK3CD",0.132254286018528,1092
"ENSG00000233268",0,0
"CLSTN1",0.189436694707699,1535
"MZT1P1",0.000212969864764136,2
"CTNNBIP1",0.474816313491641,3283
"LZIC",1.48503886700032,6448
"NMNAT1",0.234905760834842,1856
"TMEM274P",0.000745394526674476,7
"RBP7",0.00138430412096688,13
"UBE4B",0.832179746565861,4477
"ENSG00000224340",0.000425939729528272,4
"PGAM1P11",0.00138430412096688,13
"KIF1B",0.498136513683314,3321
"PGD",3.45160259823235,8198
"CENPS-CORT",0.0129911617506123,120
"CENPS",0.0635715046320946,565
"CORT",0.00340751783622617,32
"DFFA",1.17186668086466,5637
"PEX14",0.289745501011607,2226
"CASZ1",0.0170375891811309,156
"HSPE1P24",0,0
"C1orf127",0.00713449046959855,67
"CFL1P6",0.000319454797146204,3
"TARDBP",0.667767010967948,4051
"ENSG00000277726",0.012565222021084,116
"MASP2",0.00734746033436269,69
"SRM",7.6466829943563,8528
"EXOSC10",0.994675753380897,5104
"MTOR",0.685762964540518,4085
"ANGPTL7",0.00138430412096688,12
"RPL39P6",0.000319454797146204,3
"UBIAD1",0.516664891917794,3441
"UBE2V2P3",0.000106484932382068,1
"MT-MTCYBP45",0,0
"DISP3",0.00170375891811309,14
"FBXO2",0.064316899158769,545
"FBXO44",0.16579703971888,1372
"FBXO6",0.36918326056863,2654
"MAD2L2",3.13662016824619,7875
"DRAXIN",0.0240655947183474,219
"AGTRAP",1.53306357150463,6419
"C1orf167",0.0200191672878288,184
"MTHFR",1.09072516238952,5459
"CLCN6",0.251836865083591,1938
"NPPA",0.00489830688957513,46
"NPPB",0.00117133425620275,11
"SBF1P2",0.000425939729528272,4
"KIAA2013",0.242892130763497,1917
"PLOD1",0.502928335640507,3389
"MFN2",0.709509104461719,4271
"ENSG00000270914",0,0
"MIIP",1.54349909487807,6470
"TNFRSF8",0.101160685762965,843
"RPL23AP89",0.00149078905334895,14
"TNFRSF1B",0.307847939516558,2204
"RPL10P17",0.000106484932382068,1
"VPS13D",0.580662336279416,3659
"DHRS3",0.341603663081674,2432
"AADACL4",0.00362048770099031,34
"ENSG00000226166",0,0
"AADACL3",0,0
"CFAP107",0.0158662549249281,147
"PRAMEF12",0,0
"PRAMEF1",0,0
"PRAMEF11",0,0
"PRAMEF30P",0,0
"HNRNPCL1",0,0
"PRAMEF2",0.000106484932382068,1
"PRAMEF4",0,0
"PRAMEF10",0,0
"PRAMEF7",0,0
"PRAMEF29P",0,0
"PRAMEF6",0,0
"PRAMEF28P",0,0
"PRAMEF27",0,0
"HNRNPCL3",0,0
"PRAMEF25",0,0
"PRAMEF34P",0,0
"PRAMEF35P",0,0
"HNRNPCL2",0.000319454797146204,3
"PRAMEF36P",0,0
"PRAMEF26",0,0
"HNRNPCL4",0,0
"PRAMEF9",0,0
"PRAMEF13",0.000319454797146204,3
"PRAMEF18",0.000638909594292408,6
"PRAMEF31P",0,0
"PRAMEF5",0,0
"PRAMEF32P",0,0
"PRAMEF8",0,0
"PRAMEF33",0,0
"PRAMEF15",0,0
"PRAMEF14",0,0
"PRAMEF19",0,0
"PRAMEF17",0.000106484932382068,1
"PRAMEF20",0,0
"LRRC38",0.000212969864764136,2
"BRWD1P1",0.000106484932382068,1
"PDPN",0.00340751783622617,31
"RNA5SP41",0,0
"PRDM2",0.481524864231711,3236
"KAZN",0.150569694388244,1234
"TBCAP2",0.000106484932382068,1
"TMEM51",0.0615482909168353,433
"MFFP1",0.000319454797146204,2
"ZBTB2P1",0.000106484932382068,1
"FHAD1",0.0518581620700671,425
"EFHD2",0.377489085294431,2701
"CTRC",0.00926418911723991,87
"CELA2A",0.0146949206687254,104
"CELA2B",0.00468533702481099,23
"CASP9",0.399318496432755,2930
"DNAJC16",0.215206048344159,1706
"AGMAT",0.0196997124906826,181
"CHCHD2P6",0.00692152060483442,65
"CD24P1",0,0
"DDI2",0.589181130869982,3719
"RSC1A1",0,0
"PLEKHM2",0.298903205196465,2291
"SLC25A34",0.0170375891811309,155
"TMEM82",0.000106484932382068,1
"FBLIM1",0.112874028324992,979
"RPL12P14",0.00734746033436269,69
"UQCRHL",0.0264082632307528,242
"ENSG00000178715",0.00585667128101374,55
"SPEN",1.27387924608668,5712
"ENSG00000270620",0,0
"ZBTB17",0.222234053881376,1769
"ENSG00000234607",0.000106484932382068,1
"ENSG00000231353",0,0
"ENSG00000275503",0,0
