"Gene","gene_id","gene"
"DDX11L1","ENSG00000223972","ENSG00000223972"
"WASH7P","ENSG00000227232","ENSG00000227232"
"OR4G4P","ENSG00000268020","ENSG00000268020"
"OR4G11P","ENSG00000240361","ENSG00000240361"
"OR4F5","ENSG00000186092","ENSG00000186092"
"CICP27","ENSG00000233750","ENSG00000233750"
"ENSG00000268903",NA,"ENSG00000268903"
"ENSG00000269981",NA,"ENSG00000269981"
"DDX11L17","ENSG00000279928","ENSG00000279928"
"WASH9P","ENSG00000279457","ENSG00000279457"
"ENSG00000228463",NA,"ENSG00000228463"
"RPL23AP24","ENSG00000236679","ENSG00000236679"
"ENSG00000237094",NA,"ENSG00000237094"
"WBP1LP7","ENSG00000269732","ENSG00000269732"
"OR4F29","ENSG00000284733","ENSG00000284733"
"CICP7","ENSG00000233653","ENSG00000233653"
"ENSG00000250575",NA,"ENSG00000250575"
"ENSG00000230021",NA,"ENSG00000230021"
"MT-MTND1P23",NA,"MT-MTND1P23"
"MT-MTND2P28",NA,"MT-MTND2P28"
"MT-MTCO1P12",NA,"MT-MTCO1P12"
"MT-MTCO2P12",NA,"MT-MTCO2P12"
"MT-MTATP8P1",NA,"MT-MTATP8P1"
"MT-MTATP6P1",NA,"MT-MTATP6P1"
"MT-MTCO3P12",NA,"MT-MTCO3P12"
"WBP1LP6","ENSG00000268663","ENSG00000268663"
"OR4F16","ENSG00000284662","ENSG00000284662"
"CICP3","ENSG00000229376","ENSG00000229376"
"ENSG00000228327",NA,"ENSG00000228327"
"ENSG00000285268",NA,"ENSG00000285268"
"ENSG00000230092",NA,"ENSG00000230092"
"TUBB8P11","ENSG00000234711","ENSG00000234711"
"ENSG00000283040",NA,"ENSG00000283040"
"SAMD11","ENSG00000187634","ENSG00000187634"
"NOC2L","ENSG00000188976","ENSG00000188976"
"KLHL17","ENSG00000187961","ENSG00000187961"
"PLEKHN1","ENSG00000187583","ENSG00000187583"
"PERM1","ENSG00000187642","ENSG00000187642"
"HES4","ENSG00000188290","ENSG00000188290"
"ISG15","ENSG00000187608","ENSG00000187608"
"ENSG00000231702",NA,"ENSG00000231702"
"AGRN","ENSG00000188157","ENSG00000188157"
"ENSG00000217801",NA,"ENSG00000217801"
"RNF223","ENSG00000237330","ENSG00000237330"
