"target_name","target_mean","target_non_zero_count"
"ENSG00000223972.5",7.28213314069665e-06,5
"ENSG00000227232.5",7.42777580351056e-05,51
"ENSG00000268020.3",1.3107839653254e-05,9
"ENSG00000240361.2",4.66056521004585e-05,32
"ENSG00000186092.6",3.64106657034832e-05,24
"ENSG00000233750.3",0.00213512143685225,1345
"ENSG00000268903.1",0.000307306018537398,205
"ENSG00000269981.1",0.000651022702778279,436
"ENSG00000279928.2",2.91285325627865e-06,2
"ENSG00000279457.4",9.17548775727776e-05,63
"ENSG00000228463.10",0.0146880625447851,6599
"ENSG00000236679.2",0,0
"ENSG00000237094.12",0.00460813385143283,2706
"ENSG00000269732.1",0,0
"ENSG00000284733.1",0,0
"ENSG00000233653.3",0,0
"ENSG00000250575.1",0.000113601276994867,77
"ENSG00000230021.10",0.00203171514625436,1296
"ENSG00000225972.1",0.00265652216972613,1671
"ENSG00000225630.1",0.033126423657029,11864
"ENSG00000237973.1",0.00100493437341614,658
"ENSG00000229344.1",0.000643740569637583,432
"ENSG00000240409.1",5.24313586130158e-05,35
"ENSG00000248527.1",0.118337576389577,19264
"ENSG00000198744.5",0.000423820148788544,289
"ENSG00000268663.1",1.16514130251146e-05,8
"ENSG00000284662.1",0,0
"ENSG00000229376.3",1.01949863969753e-05,7
"ENSG00000228327.3",0.00200549946694785,1284
"ENSG00000285268.1",2.91285325627865e-05,20
"ENSG00000230092.7",0.000263613219693218,178
"ENSG00000234711.1",5.82570651255731e-06,4
"ENSG00000283040.1",0,0
"ENSG00000187634.12",0.000473338654145281,277
"ENSG00000188976.11",0.0535892177823866,15718
"ENSG00000187961.14",0.00190791888286252,1213
"ENSG00000187583.10",0.000308762445165537,200
"ENSG00000187642.9",0.000230115407246014,151
"ENSG00000188290.10",0.012094166720069,5553
"ENSG00000187608.9",0.0163673224470298,7650
"ENSG00000231702.2",5.8257065125573e-06,4
"ENSG00000188157.15",0.00493437341613604,2860
"ENSG00000217801.10",0.0115319860416072,5131
"ENSG00000237330.3",0.000184966181773695,124
"ENSG00000131591.17",0.00418722655590057,2575
"ENSG00000162571.13",0.000142729809557654,98
"ENSG00000186891.14",1.16514130251146e-05,8
"ENSG00000186827.11",3.34978124472045e-05,23
"ENSG00000078808.16",0.0438034872679184,14957
"ENSG00000176022.6",0.00465619593016143,2745
"ENSG00000184163.3",0.000227202553989735,155
"ENSG00000160087.20",0.0328453333177981,12196
"ENSG00000162572.20",0.000182053328517416,124
"ENSG00000131584.19",0.00489504989717628,2893
"ENSG00000169972.12",0.0161663355723465,7598
"ENSG00000127054.20",0.0333754726104408,12561
"ENSG00000224051.7",0.00640245145730048,3728
"ENSG00000169962.5",8.59291710602203e-05,59
"ENSG00000107404.20",0.00487757277763861,2878
"ENSG00000162576.16",0.00162537211700349,1022
"ENSG00000175756.13",0.225737388801827,31418
"ENSG00000223663.2",3.20413858190652e-05,21
"ENSG00000221978.12",0.0194884447111323,8804
"ENSG00000242485.6",0.130798762619937,24047
"ENSG00000235098.8",2.18463994220899e-05,15
"ENSG00000205116.3",4.36927988441798e-06,3
"ENSG00000179403.12",0.000709279767903853,468
"ENSG00000215915.9",0.00112290493029542,740
"ENSG00000160072.19",0.0162435261836379,7318
"ENSG00000284740.1",0.00019516116817067,133
"ENSG00000197785.13",0.0157279511572766,7441
"ENSG00000205090.9",0.000257787513180661,176
"ENSG00000160075.12",0.116968535359126,23624
"ENSG00000274481.1",0,0
"ENSG00000228594.4",0.00105445287877287,679
"ENSG00000197530.12",0.00613446895772285,3602
"ENSG00000189409.13",0.000109231997110449,74
"ENSG00000248333.8",0.0132272666367614,6706
"ENSG00000189339.11",0.00349396748090625,2176
"ENSG00000269737.2",0.000420907295532266,287
"ENSG00000215914.4",0,0
"ENSG00000008128.23",0.0152997617286036,7364
"ENSG00000227775.3",0.000352455244009717,233
"ENSG00000215790.7",0.00163411067677233,1083
"ENSG00000008130.15",0.0129505455774149,6623
"ENSG00000078369.18",0.0326705621224214,11859
"ENSG00000169885.10",7.28213314069663e-06,5
"ENSG00000178821.13",0.00471008371540259,2776
"ENSG00000142609.18",0.000701997634763156,471
"ENSG00000187730.9",0.000316044578306234,200
"ENSG00000067606.17",0.00137486673696353,893
"ENSG00000162585.17",0.0913266881441047,19935
"ENSG00000157933.10",0.00550092337448224,3205
"ENSG00000116151.14",0.00152487867966188,992
"ENSG00000269896.2",2.03899727939506e-05,14
"ENSG00000157916.20",0.0718615462590226,18149
"ENSG00000157911.10",0.00396584970842339,2415
"ENSG00000149527.18",1.3107839653254e-05,9
"ENSG00000157881.14",0.00317355362271559,2006
"ENSG00000197921.6",1.01949863969753e-05,3
"ENSG00000157873.17",0.00256185443889708,1534
"ENSG00000157870.16",0.00499845618777417,2910
"ENSG00000142606.16",7.28213314069663e-06,5
"ENSG00000215912.12",0.000375758070059947,254
"ENSG00000169717.6",0,0
"ENSG00000142611.17",0.000157294075839047,106
"ENSG00000130762.15",0.000356824523894135,238
"ENSG00000162591.16",9.02984509446383e-05,60
"ENSG00000158109.15",0.00300169528059515,1846
"ENSG00000116213.16",0.0125733310807268,6392
"ENSG00000078900.15",0.00185840037750578,1173
"ENSG00000227372.12",0.00441297268326216,2697
"ENSG00000162592.10",0.000218463994220899,147
"ENSG00000235169.8",0.0537669018310196,15497
"ENSG00000130764.10",0.0224653807390491,10089
"ENSG00000116198.13",0.0145569841482526,7114
"ENSG00000169598.15",0.00331628343227325,2006
"ENSG00000198912.11",0.0189000483533641,8704
"ENSG00000229280.1",0,0
"ENSG00000196581.10",3.78670923316225e-05,26
"ENSG00000283356.1",0,0
"ENSG00000131697.18",0.00192393957577205,1207
"ENSG00000069424.14",0.00346920822822788,2151
"ENSG00000116254.18",2.76721059346472e-05,19
"ENSG00000285629.1",5.24313586130158e-05,36
"ENSG00000116251.11",0.0692428911816281,16766
"ENSG00000158286.13",0.0030366495196705,1871
"ENSG00000116237.16",0.0167678397697681,8283
"ENSG00000173673.7",1.45642662813932e-06,1
"ENSG00000158292.7",0.000243223246899268,162
"ENSG00000097021.19",0.0203404542885939,8651
"ENSG00000069812.11",0.000502467186708068,328
"ENSG00000187017.16",0.00330608844587627,1620
"ENSG00000215788.10",0.000203899727939506,138
"ENSG00000171680.21",9.17548775727776e-05,63
"ENSG00000162408.11",0.0293076730380477,11788
"ENSG00000229519.2",0.000117970556879286,80
"ENSG00000173662.21",4.22363722160405e-05,29
"ENSG00000204859.13",0.00680588163329508,3921
"ENSG00000162413.16",0.00794189440324375,4258
"ENSG00000116273.6",0.00535382428504017,3237
"ENSG00000041988.15",0.00666460825036556,3894
"ENSG00000007923.16",0.0112756549550547,6079
"ENSG00000171735.19",0.0484130775459794,14540
"ENSG00000227950.1",2.91285325627865e-05,20
"ENSG00000049245.13",0.0135666140411178,7104
"ENSG00000049246.14",0.00838027881831369,4734
"ENSG00000049247.13",4.36927988441798e-05,26
"ENSG00000049249.8",0.00123359335403401,768
"ENSG00000270330.1",0,0
"ENSG00000116288.13",0.249877660163236,33566
"ENSG00000116285.13",0.00149429372047095,913
"ENSG00000232848.1",0.000289828898999726,198
"ENSG00000229305.1",1.45642662813932e-06,1
"ENSG00000162426.14",1.74771195376719e-05,12
"ENSG00000142599.18",0.0153361723943071,7363
"ENSG00000270282.1",4.51492254723191e-05,30
"ENSG00000234619.1",2.76721059346472e-05,19
"ENSG00000224315.2",9.17548775727776e-05,62
"ENSG00000226545.1",9.3211304200917e-05,63
"ENSG00000229716.2",7.42777580351057e-05,51
"ENSG00000074800.15",0.450864534846463,49463
"ENSG00000238249.2",0.000101949863969753,70
"ENSG00000232208.2",1.45642662813932e-06,1
"ENSG00000232663.2",1.45642662813932e-06,1
"ENSG00000131686.15",0.000339347404356463,226
"ENSG00000197241.3",1.45642662813932e-06,1
"ENSG00000142583.17",0.000365563083662971,243
"ENSG00000180758.12",0.000655391982662697,436
"ENSG00000049239.12",0.00131369681858167,860
"ENSG00000171621.14",6.55391982662697e-05,41
"ENSG00000252956.1",0,0
"ENSG00000171612.7",0.0169251338456071,7906
"ENSG00000231181.1",0.000125252690019982,85
"ENSG00000188807.13",0.00365563083662971,2209
"ENSG00000171608.15",0.00303810594629864,1848
"ENSG00000233268.3",0,0
"ENSG00000171603.17",0.00435908489802101,2619
"ENSG00000271264.1",2.91285325627865e-06,2
"ENSG00000178585.15",0.0107484285156682,5701
"ENSG00000162441.12",0.0349993883008162,13142
"ENSG00000173614.14",0.00560287323845199,3343
"ENSG00000283611.2",1.89335461658113e-05,13
"ENSG00000162444.12",5.38877852411551e-05,36
"ENSG00000130939.19",0.0194855318578761,8500
"ENSG00000224340.1",1.01949863969753e-05,7
"ENSG00000233623.2",3.05849591909259e-05,21
"ENSG00000054523.17",0.0121728137579885,6293
"ENSG00000142657.21",0.0819720599115658,21548
"ENSG00000251503.8",0.000295654605512284,198
"ENSG00000175279.22",0.00129039399253144,837
"ENSG00000241563.3",7.71906112913843e-05,52
"ENSG00000160049.12",0.0271375973621201,10828
"ENSG00000142655.13",0.00679131736701368,3933
"ENSG00000130940.15",0.000403430175994594,272
"ENSG00000225158.2",0,0
"ENSG00000175262.14",0.000155837649210908,107
"ENSG00000215785.2",4.36927988441798e-06,3
"ENSG00000120948.17",0.0147637967294484,6805
"ENSG00000277726.4",0.000332065271215767,226
"ENSG00000009724.16",0.000190791888286252,131
"ENSG00000116649.10",0.169268815575609,25746
"ENSG00000171824.14",0.0244883573255347,10618
"ENSG00000198793.12",0.0159638922710352,7489
"ENSG00000171819.5",4.51492254723191e-05,29
"ENSG00000238173.1",5.8257065125573e-06,4
"ENSG00000120942.13",0.0118523998997978,6063
"ENSG00000238199.1",4.36927988441798e-06,3
"ENSG00000224338.2",0,0
"ENSG00000204624.8",4.66056521004585e-05,30
"ENSG00000116661.11",0.00139962598964189,886
"ENSG00000132879.14",0.00368621579582064,2260
"ENSG00000116663.11",0.00852155220124321,4712
"ENSG00000116670.15",0.070810006233506,18594
"ENSG00000162490.7",0.000578201371371313,382
"ENSG00000177674.16",0.0342959342394249,12298
"ENSG00000215910.7",0.000458774387863888,307
"ENSG00000177000.12",0.0235271157509627,9305
"ENSG00000011021.23",0.00578055728708499,3314
"ENSG00000175206.10",0.000139816956301375,94
"ENSG00000120937.9",2.33028260502292e-05,16
"ENSG00000224904.1",1.01949863969753e-05,7
"ENSG00000116685.16",0.00524313586130158,3034
"ENSG00000083444.17",0.0117198650766372,6074
"ENSG00000116688.16",0.0167707526230244,8047
"ENSG00000270914.1",0,0
"ENSG00000116691.11",0.034475074714686,12380
"ENSG00000120949.15",0.00223998415407829,1390
"ENSG00000227875.2",3.78670923316225e-05,26
"ENSG00000028137.19",0.00700978136123458,3868
"ENSG00000225196.2",5.8257065125573e-06,4
"ENSG00000048707.15",0.0137166259838162,6621
"ENSG00000162496.9",0.00770012758297263,4183
"ENSG00000204518.2",7.71906112913844e-05,53
"ENSG00000226166.2",0,0
"ENSG00000188984.12",1.45642662813932e-06,1
"ENSG00000157330.10",0.00039032233634134,261
"ENSG00000116726.4",0,0
"ENSG00000116721.9",0,0
"ENSG00000239810.3",1.45642662813932e-06,1
"ENSG00000231103.2",0,0
"ENSG00000179172.9",0,0
"ENSG00000120952.4",2.91285325627865e-06,2
"ENSG00000243073.3",0,0
"ENSG00000187545.5",0,0
"ENSG00000204510.5",0,0
"ENSG00000234064.1",0,0
"ENSG00000232423.6",0,0
"ENSG00000274178.2",0,0
"ENSG00000274764.5",0,0
"ENSG00000277058.2",0,0
"ENSG00000229571.7",0,0
"ENSG00000277862.1",0,0
"ENSG00000236179.1",0,0
"ENSG00000275774.2",5.8257065125573e-06,4
"ENSG00000229978.1",0,0
"ENSG00000280267.4",0,0
"ENSG00000179412.10",0,0
"ENSG00000204505.4",0,0
"ENSG00000279169.2",5.8257065125573e-06,4
"ENSG00000279804.2",1.74771195376719e-05,12
"ENSG00000250894.1",0,0
"ENSG00000270601.4",0,0
"ENSG00000231219.1",0,0
"ENSG00000182330.10",0,0
"ENSG00000237700.2",0,0
"ENSG00000204501.7",0,0
"ENSG00000204481.7",0,0
"ENSG00000204480.8",0,0
"ENSG00000204479.4",1.45642662813932e-06,1
"ENSG00000204478.9",0,0
"ENSG00000162494.6",5.8257065125573e-06,4
"ENSG00000215909.3",2.91285325627865e-06,2
"ENSG00000162493.16",8.8842024316499e-05,60
