"Gene","gRNA","p_value"
"EGFL7","SNP-29-2",0.764235330511349
"TMCO3","SNP-3-1",5.86043349733584e-08
"ANK1","SNP-61-1",9.3056713234611e-17
"NDUFS8","SNP-60-1",0.0176108118795521
"TCIRG1","SNP-60-1",0.0346711085102644
"CD52","SNP-21-2",NA
"TFRC","SNP-26-2",3.90843669812252e-05
"SLC7A5","SNP-74-1",2.45781313374046e-08
"CMC1","SNP-80-2",0.335945769141843
"CTSB","SNP-45-2",3.62670899257679e-05
"GFI1B","SNP-63-2",2.99758200990013e-06
"GFI1B","SNP-76-2",0.0914293321586171
"NFE2","SNP-83-2",NA
"PTPRC","SNP-14-2",1.01029240846293e-24
"CD164","SNP-7-2",0.000269421024123605
"GLRX5","SNP-58-2",3.53727861915093e-10
"ANKRD12","SNP-64-2",0.118405748578592
"PTPRC","SNP-13-1",0.00120257832441548
"PDLIM1","SNP-77-2",2.92148869663768e-07
"SLC25A37","SNP-33-1",0.142858614032244
"NUDT4","SNP-62-2",1.13498252239082e-07
"CR1L","SNP-20-2",6.80593546639456e-33
"ACTN4","SNP-34-2",0.00236419793676408
"PTPRC","SNP-12-2",0.00745363639039715
"PIEZO1","SNP-35-1",5.84642324371878e-08
"CTU2","SNP-35-1",2.42040874659627e-20
"TMCO3","SNP-55-1",0.151041035896587
"VEGFB","SNP-53-1",0.000411759488092985
"DHRS13","SNP-59-1",0.00456175447247979
"TLCD1","SNP-59-1",0.549494765667746
"PTPRC","SNP-18-1",NA
"PTPRC","SNP-11-1",2.22406741894931e-05
"TFRC","SNP-22-2",0.135482963066756
"GATA2","SNP-69-2",0.00243183655200257
"ZMYND8","SNP-68-1",0.00298734111661933
"OAZ1","SNP-75-2",4.66834996160783e-08
"PTPRC","SNP-15-2",0.00603941667919644
"APOE","SNP-36-1",0.00747844533905445
"APOC1","SNP-36-1",0.490533910169146
"MAZ","SNP-10-2",1.17998009726149e-06
"CDCA3","SNP-28-2",0.000928670605711506
"ARID1A","SNP-21-1",0.589226051995192
"RNF166","SNP-86-2",0.0553766608303734
"CDT1","SNP-86-2",0.175246720797675
"PIEZO1","SNP-86-2",0.718814644549462
"APRT","SNP-86-2",0.00874387287523552
"GALNS","SNP-86-2",0.875579380342999
