gene_id,gRNA_group,pair_type
ACTN4,NTC-10,negative_control
ADAT3,NTC-10,negative_control
AJM1,NTC-10,negative_control
AMH,NTC-10,negative_control
APOE,NTC-10,negative_control
ARHGAP19,NTC-10,negative_control
ATG4B,NTC-10,negative_control
AZI2,NTC-10,negative_control
B4GALT3,NTC-10,negative_control
C11orf95,NTC-10,negative_control
C1orf174,NTC-10,negative_control
CA11,NTC-10,negative_control
CACFD1,NTC-10,negative_control
CD3EAP,NTC-10,negative_control
CD46,NTC-10,negative_control
CDC42BPB,NTC-10,negative_control
CDIPT,NTC-10,negative_control
CDT1,NTC-10,negative_control
CHKA,NTC-10,negative_control
CLPTM1,NTC-10,negative_control
CMC1,NTC-10,negative_control
CTU2,NTC-10,negative_control
CYBA,NTC-10,negative_control
D2HGDH,NTC-10,negative_control
DAGLB,NTC-10,negative_control
DDX50,NTC-10,negative_control
DDX5,NTC-10,negative_control
DHPS,NTC-10,negative_control
DHRS13,NTC-10,negative_control
DNASE2,NTC-10,negative_control
EIF2AK1,NTC-10,negative_control
ERCC2,NTC-10,negative_control
EXOC3L2,NTC-10,negative_control
EXOC6,NTC-10,negative_control
EXOSC1,NTC-10,negative_control
F11R,NTC-10,negative_control
FAM222B,NTC-10,negative_control
FBXO2,NTC-10,negative_control
FBXO45,NTC-10,negative_control
FRAT2,NTC-10,negative_control
GAS6,NTC-10,negative_control
GFI1B,NTC-10,negative_control
GGCX,NTC-10,negative_control
GINS4,NTC-10,negative_control
GPR137,NTC-10,negative_control
GPSM1,NTC-10,negative_control
GRIN2D,NTC-10,negative_control
GTSF1,NTC-10,negative_control
H3F3A,NTC-10,negative_control
HBS1L,NTC-10,negative_control
HOOK2,NTC-10,negative_control
IFNGR1,NTC-10,negative_control
INPP5E,NTC-10,negative_control
JUNB,NTC-10,negative_control
KDELR1,NTC-10,negative_control
LPAR5,NTC-10,negative_control
LRP5,NTC-10,negative_control
LSM7,NTC-10,negative_control
MAP3K5,NTC-10,negative_control
MARVELD1,NTC-10,negative_control
MED20,NTC-10,negative_control
MICAL1,NTC-10,negative_control
MLF2,NTC-10,negative_control
MRPL22,NTC-10,negative_control
NDUFV1,NTC-10,negative_control
NEIL2,NTC-10,negative_control
NELFCD,NTC-10,negative_control
NIT1,NTC-10,negative_control
NUDT8,NTC-10,negative_control
PCBD2,NTC-10,negative_control
PCID2,NTC-10,negative_control
PCYT1A,NTC-10,negative_control
PFDN2,NTC-10,negative_control
PIGV,NTC-10,negative_control
PLCB3,NTC-10,negative_control
PLEKHA4,NTC-10,negative_control
POLG2,NTC-10,negative_control
PPP1R37,NTC-10,negative_control
PTMS,NTC-10,negative_control
QSOX2,NTC-10,negative_control
RALBP1,NTC-10,negative_control
RNF10,NTC-10,negative_control
RPLP0,NTC-10,negative_control
RPS6KA4,NTC-10,negative_control
SAPCD2,NTC-10,negative_control
SCAMP4,NTC-10,negative_control
SDF2,NTC-10,negative_control
SEC16A,NTC-10,negative_control
SEC61A1,NTC-10,negative_control
SELENOH,NTC-10,negative_control
SEZ6L2,NTC-10,negative_control
SF3A2,NTC-10,negative_control
SH3BGRL3,NTC-10,negative_control
SIRT2,NTC-10,negative_control
SIRT4,NTC-10,negative_control
SLC1A4,NTC-10,negative_control
SLC29A1,NTC-10,negative_control
SLC46A1,NTC-10,negative_control
SORBS1,NTC-10,negative_control
SPINDOC,NTC-10,negative_control
SPN,NTC-10,negative_control
SRGN,NTC-10,negative_control
STK25,NTC-10,negative_control
STRADA,NTC-10,negative_control
STX10,NTC-10,negative_control
SURF4,NTC-10,negative_control
TBC1D14,NTC-10,negative_control
TCIRG1,NTC-10,negative_control
