Gene,gRNA
ACTN4,NTC-10
ADAT3,NTC-10
AJM1,NTC-10
AMH,NTC-10
APOE,NTC-10
ARHGAP19,NTC-10
ATG4B,NTC-10
AZI2,NTC-10
B4GALT3,NTC-10
C11orf95,NTC-10
C1orf174,NTC-10
CA11,NTC-10
CACFD1,NTC-10
CD3EAP,NTC-10
CD46,NTC-10
CDC42BPB,NTC-10
CDIPT,NTC-10
CDT1,NTC-10
CHKA,NTC-10
CLPTM1,NTC-10
CMC1,NTC-10
CTU2,NTC-10
CYBA,NTC-10
D2HGDH,NTC-10
DAGLB,NTC-10
DDX50,NTC-10
DDX5,NTC-10
DHPS,NTC-10
DHRS13,NTC-10
DNASE2,NTC-10
EIF2AK1,NTC-10
ERCC2,NTC-10
EXOC3L2,NTC-10
EXOC6,NTC-10
EXOSC1,NTC-10
F11R,NTC-10
FAM222B,NTC-10
FBXO2,NTC-10
FBXO45,NTC-10
FRAT2,NTC-10
GAS6,NTC-10
GFI1B,NTC-10
GGCX,NTC-10
GINS4,NTC-10
GPR137,NTC-10
GPSM1,NTC-10
GRIN2D,NTC-10
GTSF1,NTC-10
H3F3A,NTC-10
HBS1L,NTC-10
HOOK2,NTC-10
IFNGR1,NTC-10
INPP5E,NTC-10
JUNB,NTC-10
KDELR1,NTC-10
LPAR5,NTC-10
LRP5,NTC-10
LSM7,NTC-10
MAP3K5,NTC-10
MARVELD1,NTC-10
MED20,NTC-10
MICAL1,NTC-10
MLF2,NTC-10
MRPL22,NTC-10
NDUFV1,NTC-10
NEIL2,NTC-10
NELFCD,NTC-10
NIT1,NTC-10
NUDT8,NTC-10
PCBD2,NTC-10
PCID2,NTC-10
PCYT1A,NTC-10
PFDN2,NTC-10
PIGV,NTC-10
PLCB3,NTC-10
PLEKHA4,NTC-10
POLG2,NTC-10
PPP1R37,NTC-10
PTMS,NTC-10
QSOX2,NTC-10
RALBP1,NTC-10
RNF10,NTC-10
RPLP0,NTC-10
RPS6KA4,NTC-10
SAPCD2,NTC-10
