"Gene","gRNA","p_value"
"ACTN4","NTC-10",0.517417872929542
"ADAT3","NTC-10",0.100950188280216
"AJM1","NTC-10",0.260617014797839
"AMH","NTC-10",0.794179632419943
"APOE","NTC-10",0.0211950374615719
"ARHGAP19","NTC-10",0.93620043928702
"ATG4B","NTC-10",0.235901012269807
"AZI2","NTC-10",0.337855929545259
"B4GALT3","NTC-10",0.76827893794599
"C1orf174","NTC-10",0.647296703880561
"CA11","NTC-10",0.336120733592646
"CACFD1","NTC-10",0.812022073854902
"CD46","NTC-10",0.391649625414076
"CDC42BPB","NTC-10",0.681876252601807
"CDIPT","NTC-10",0.676786981892601
"CDT1","NTC-10",0.315743080167617
"CHKA","NTC-10",0.983920683882988
"CLPTM1","NTC-10",0.363047995745831
"CMC1","NTC-10",0.695368153168083
"CTU2","NTC-10",0.440795918696398
"CYBA","NTC-10",0.00661341844392542
"D2HGDH","NTC-10",0.902204049643255
"DAGLB","NTC-10",0.250500111771393
"DDX50","NTC-10",0.0599867887587072
"DDX5","NTC-10",0.576081380157756
"DHPS","NTC-10",0.00622815186753146
"DHRS13","NTC-10",0.731459122696083
"DNASE2","NTC-10",0.592546435680117
"EIF2AK1","NTC-10",0.918353570713996
"ERCC2","NTC-10",0.344028823354028
"EXOC3L2","NTC-10",0.474475888810812
"EXOC6","NTC-10",0.805553913894712
"EXOSC1","NTC-10",0.913191399836391
"F11R","NTC-10",0.89931091648598
"FAM222B","NTC-10",0.0340077123921952
"FBXO2","NTC-10",0.137345525548728
"FBXO45","NTC-10",0.138348738203872
"FRAT2","NTC-10",0.557208051776121
"GAS6","NTC-10",0.789469884303649
"GFI1B","NTC-10",0.349863400603134
"GGCX","NTC-10",0.0226218127704641
"GINS4","NTC-10",0.847363057082652
"GPR137","NTC-10",0.023697411201535
"GPSM1","NTC-10",0.880504393530013
"GRIN2D","NTC-10",0.622327381822672
"GTSF1","NTC-10",0.134951425044699
"HBS1L","NTC-10",0.614309297646379
"HOOK2","NTC-10",0.859587441354867
"IFNGR1","NTC-10",0.688322501299156
"INPP5E","NTC-10",0.70577119888048
"JUNB","NTC-10",0.149410293174695
"KDELR1","NTC-10",0.349663260882213
"LPAR5","NTC-10",0.433694997750331
"LRP5","NTC-10",0.897201801802079
"LSM7","NTC-10",0.0277024830592905
"MAP3K5","NTC-10",0.522989505895298
"MARVELD1","NTC-10",0.699512469103494
"MED20","NTC-10",0.190586695113747
"MICAL1","NTC-10",0.440251858471134
"MLF2","NTC-10",0.325601810786954
"MRPL22","NTC-10",0.295441393025127
"NDUFV1","NTC-10",0.0319440746459343
"NEIL2","NTC-10",0.268874241587473
"NELFCD","NTC-10",0.682191228468359
"NIT1","NTC-10",0.21239704401101
"NUDT8","NTC-10",0.343622682737545
"PCBD2","NTC-10",0.0480461246422801
"PCID2","NTC-10",0.268034150965984
"PCYT1A","NTC-10",0.349404786933561
"PFDN2","NTC-10",0.0662154959918603
"PIGV","NTC-10",0.530259451008244
"PLCB3","NTC-10",0.89331936340064
"PLEKHA4","NTC-10",0.578187364489522
"POLG2","NTC-10",0.692982296186517
"PPP1R37","NTC-10",0.162465566302677
"PTMS","NTC-10",0.0429635288784989
"QSOX2","NTC-10",0.76160001642683
"RALBP1","NTC-10",0.00481571311423711
"RNF10","NTC-10",0.917909262722802
"RPLP0","NTC-10",0.00145763365266553
"RPS6KA4","NTC-10",0.434252099847276
"SAPCD2","NTC-10",0.0473742676328652
"SCAMP4","NTC-10",0.82996051745473
"SDF2","NTC-10",0.463111600712187
"SEC16A","NTC-10",0.804574893335699
"SEC61A1","NTC-10",0.432583123668019
"SELENOH","NTC-10",0.0459832323184087
"SEZ6L2","NTC-10",0.755445646533068
"SF3A2","NTC-10",0.0854076327832734
"SH3BGRL3","NTC-10",0.00723986832598633
"SIRT2","NTC-10",0.421495776351988
"SIRT4","NTC-10",0.363901077072924
"SLC1A4","NTC-10",0.455383676644978
"SLC29A1","NTC-10",0.53619430800665
"SLC46A1","NTC-10",0.587557893560286
"SORBS1","NTC-10",0.576173713429154
"SPINDOC","NTC-10",0.405824768070961
"SPN","NTC-10",0.753260952865449
"SRGN","NTC-10",0.127465575238826
"STK25","NTC-10",0.803268071186585
"STRADA","NTC-10",0.872381821782702
"STX10","NTC-10",0.119111670183863
"SURF4","NTC-10",0.00511961148097134
"TBC1D14","NTC-10",0.123628421186577
"TCIRG1","NTC-10",0.69894147084588
"TFDP1","NTC-10",0.600528034034716
"TFRC","NTC-10",0.505662890541522
"TGOLN2","NTC-10",0.948591825340049
"TIMM13","NTC-10",0.00146122174808375
"TJAP1","NTC-10",0.609209552702355
"TM4SF19","NTC-10",0.160604503267418
"TMCO3","NTC-10",0.806632027706591
"TNFRSF1B","NTC-10",0.0500556510753419
"TNK2","NTC-10",0.535073980287419
"TPRG1L","NTC-10",0.0025163219793105
"TRAF2","NTC-10",0.514814532919205
"TRAPPC2L","NTC-10",0.0263877101630777
"TRIM5","NTC-10",0.298704096043445
"TRIR","NTC-10",0.209382386053648
"TWSG1","NTC-10",0.322796770572127
"UBE2N","NTC-10",0.0656593613852816
"USP21","NTC-10",0.605636917711763
"USP39","NTC-10",0.462791401494444
"USP42","NTC-10",0.117307269616105
"USP5","NTC-10",0.583113945516394
"WDR25","NTC-10",0.536961180875792
"YIF1B","NTC-10",0.756378699919599
"ZC3H18","NTC-10",0.0247988562784574
"ZDHHC5","NTC-10",0.558905509491608
"ZFPM1","NTC-10",0.365210419122286
"ZNF384","NTC-10",0.715246489626791
"ZNF385A","NTC-10",0.48449194854153
"ZNF791","NTC-10",0.65327662009435
"PCID2","NTC-11",0.256182626290264
"RNF10","NTC-11",0.242185763616134
"KAT6A","NTC-12",0.626867497609521
"PAXX","NTC-12",3.44591428153327e-05
"FBXO6","NTC-1",0.0487534954067402
"FTSJ3","NTC-1",0.0638921861027287
"PITX1","NTC-1",0.984890382914186
"POLH","NTC-1",0.869188534168811
"SLC7A5","NTC-1",0.796259897030353
"ACSF3","NTC-2",0.168777184860201
"ALDOC","NTC-2",0.965173489405236
"BLOC1S4","NTC-2",0.129023805729152
"CDC42BPB","NTC-2",0.898562775770873
"FAM241B","NTC-2",0.415538466084672
"GALNS","NTC-2",0.539075350185228
"GINS4","NTC-2",0.207466201249885
"UNC119","NTC-2",0.000119452200485445
"ZBTB24","NTC-2",0.207199851344403
"ZDHHC5","NTC-2",0.00890971502529553
"CEP68","NTC-3",0.835782595090883
"FAM110D","NTC-3",0.904046535585022
"KMT5B","NTC-3",0.0653938736542184
"MAN2B2","NTC-3",0.594359343612842
"TP73","NTC-3",0.291121755435491
"USP42","NTC-3",0.620950507630976
"MVD","NTC-4",0.96170487903938
"PARP1","NTC-4",0.0410686194776319
"SPAG5","NTC-5",0.78695143431279
"CBX5","NTC-6",0.111227151535156
"COPS7A","NTC-6",0.313074913326048
"LYN","NTC-6",0.0110733386347752
"NIT1","NTC-6",0.356214723420162
"RRP12","NTC-6",0.804000221463091
"USP39","NTC-6",0.656793601400116
