"Gene","gRNA","p_value"
"ACTN4","NTC-10",0.683502418118882
"ADAT3","NTC-10",0.287306538725103
"AJM1","NTC-10",0.515152475834801
"AMH","NTC-10",0.933266251557881
"APOE","NTC-10",0.0386491587511672
"ARHGAP19","NTC-10",0.802569512547665
"ATG4B","NTC-10",0.625068419132257
"AZI2","NTC-10",0.705165943602268
"B4GALT3","NTC-10",0.613296890473984
"C1orf174","NTC-10",0.574783058602169
"CA11","NTC-10",0.139404149135408
"CACFD1","NTC-10",0.922929951246441
"CD46","NTC-10",0.987925067704522
"CDC42BPB","NTC-10",0.930929299839451
"CDIPT","NTC-10",0.784332146883328
"CDT1","NTC-10",0.893989196420884
"CHKA","NTC-10",0.353594827547801
"CLPTM1","NTC-10",0.893547253832456
"CMC1","NTC-10",0.275071477026117
"CTU2","NTC-10",0.957977644972353
"CYBA","NTC-10",0.164596287907901
"D2HGDH","NTC-10",0.82143157926456
"DAGLB","NTC-10",0.167692668677556
"DDX50","NTC-10",0.341844329312433
"DDX5","NTC-10",0.265932753305712
"DHPS","NTC-10",0.0184991593270981
"DHRS13","NTC-10",0.707552733828838
"DNASE2","NTC-10",0.465083628362534
"EIF2AK1","NTC-10",0.259862789434831
"ERCC2","NTC-10",0.652676525197734
"EXOC3L2","NTC-10",0.716635517434844
"EXOC6","NTC-10",0.518685601942599
"EXOSC1","NTC-10",0.335334705257169
"F11R","NTC-10",0.820964907372897
"FAM222B","NTC-10",0.207655292421115
"FBXO2","NTC-10",0.286413937291687
"FBXO45","NTC-10",0.307285400357354
"FRAT2","NTC-10",0.301925170022215
"GAS6","NTC-10",0.926284673855949
"GFI1B","NTC-10",0.983664602812342
"GGCX","NTC-10",0.17901583150266
"GINS4","NTC-10",0.460263270716864
"GPR137","NTC-10",0.0996750149402383
"GPSM1","NTC-10",0.657245525117535
"GRIN2D","NTC-10",0.949517136248093
"GTSF1","NTC-10",0.485688979740047
"HBS1L","NTC-10",0.730544192348936
"HOOK2","NTC-10",0.519157270708769
"IFNGR1","NTC-10",0.93095627551934
"INPP5E","NTC-10",0.928971109674957
"JUNB","NTC-10",0.0404832600123287
"KDELR1","NTC-10",0.489419105684
"LPAR5","NTC-10",0.845741816753352
"LRP5","NTC-10",0.636743952631268
"LSM7","NTC-10",0.933042818887067
"MAP3K5","NTC-10",0.328050250700799
"MARVELD1","NTC-10",0.924649048747094
"MED20","NTC-10",0.0413306884034856
"MICAL1","NTC-10",0.337269255735913
"MLF2","NTC-10",0.544876524258386
"MRPL22","NTC-10",0.477024223344992
"NDUFV1","NTC-10",0.592217365700967
"NEIL2","NTC-10",0.478773220626216
"NELFCD","NTC-10",0.52820521290952
"NIT1","NTC-10",0.0652114888306845
"NUDT8","NTC-10",0.949499744395191
"PCBD2","NTC-10",0.234635290335954
"PCID2","NTC-10",0.698733923556293
"PCYT1A","NTC-10",0.154444760337882
"PFDN2","NTC-10",0.940778982562337
"PIGV","NTC-10",0.68853883252074
"PLCB3","NTC-10",0.824681200881803
"PLEKHA4","NTC-10",0.338226472911528
"POLG2","NTC-10",0.314254736542036
"PPP1R37","NTC-10",0.283449311863258
"PTMS","NTC-10",0.436328312777939
"QSOX2","NTC-10",0.538089656410927
"RALBP1","NTC-10",0.155883541968789
"RNF10","NTC-10",0.402289559280527
"RPLP0","NTC-10",0.220544271527842
"RPS6KA4","NTC-10",0.257197461500717
"SAPCD2","NTC-10",0.150675059460239
"SCAMP4","NTC-10",0.779146930031071
"SDF2","NTC-10",0.0844134915004513
"SEC16A","NTC-10",0.761510395085764
"SEC61A1","NTC-10",0.168084804653968
"SELENOH","NTC-10",0.717813765655159
"SEZ6L2","NTC-10",0.535766240431904
"SF3A2","NTC-10",0.687027416419067
"SH3BGRL3","NTC-10",0.0827680262116079
"SIRT2","NTC-10",0.171361648084939
"SIRT4","NTC-10",0.275228770855205
"SLC1A4","NTC-10",0.222218489383496
"SLC29A1","NTC-10",0.449002317806012
"SLC46A1","NTC-10",0.38210595906603
"SORBS1","NTC-10",0.774139380418624
"SPINDOC","NTC-10",0.685583794711691
"SPN","NTC-10",0.39510412811204
"SRGN","NTC-10",0.0143126401255423
"STK25","NTC-10",0.604102485561514
"STRADA","NTC-10",0.899965473710952
"STX10","NTC-10",0.291249136198448
"SURF4","NTC-10",0.0431116255235964
"TBC1D14","NTC-10",0.0213681491076161
"TCIRG1","NTC-10",0.927846301005033
"TFDP1","NTC-10",0.429505301518391
"TFRC","NTC-10",0.756258815557422
"TGOLN2","NTC-10",0.437648464546346
"TIMM13","NTC-10",0.295484537457619
"TJAP1","NTC-10",0.310549175904476
"TM4SF19","NTC-10",0.190405195738461
"TMCO3","NTC-10",0.455017707876662
"TNFRSF1B","NTC-10",0.116783558170727
"TNK2","NTC-10",0.639569685462866
"TPRG1L","NTC-10",0.00343657702413609
"TRAF2","NTC-10",0.997447666287589
"TRAPPC2L","NTC-10",0.120321809729385
"TRIM5","NTC-10",0.574941762503425
"TRIR","NTC-10",0.37578608056147
"TWSG1","NTC-10",0.865533003992306
"UBE2N","NTC-10",0.553034421473992
"USP21","NTC-10",0.321018123413231
"USP39","NTC-10",0.0803364319291992
"USP42","NTC-10",0.222056825536065
"USP5","NTC-10",0.977143911278239
"WDR25","NTC-10",0.792361221060454
"YIF1B","NTC-10",0.165238142041468
"ZC3H18","NTC-10",0.212567964020773
"ZDHHC5","NTC-10",0.939053966733177
"ZFPM1","NTC-10",0.231051846231594
"ZNF384","NTC-10",0.451046566753463
"ZNF385A","NTC-10",0.787438078373108
"ZNF791","NTC-10",0.274842555013758
"PCID2","NTC-11",0.198037826198772
"RNF10","NTC-11",0.314244486670614
"KAT6A","NTC-12",0.351719951125415
"PAXX","NTC-12",0.436470394531282
"FBXO6","NTC-1",0.290969430102114
"FTSJ3","NTC-1",0.949950506440572
"PITX1","NTC-1",0.0517326941124851
"POLH","NTC-1",0.307717393182094
"SLC7A5","NTC-1",0.121098759867352
"ACSF3","NTC-2",0.588978876825152
"ALDOC","NTC-2",0.40259586396046
"BLOC1S4","NTC-2",0.819581304610478
"CDC42BPB","NTC-2",0.625989189234755
"FAM241B","NTC-2",0.171196329143565
"GALNS","NTC-2",0.961672472788889
"GINS4","NTC-2",0.941887353691833
"UNC119","NTC-2",0.00462778277013617
"ZBTB24","NTC-2",0.774005944639434
"ZDHHC5","NTC-2",0.148496205724053
"CEP68","NTC-3",0.935570823138688
"FAM110D","NTC-3",0.866789818696708
"KMT5B","NTC-3",0.182324355384082
"MAN2B2","NTC-3",0.770431312292198
"TP73","NTC-3",0.403270205923598
"USP42","NTC-3",0.999769432801235
"MVD","NTC-4",0.690661763604291
"PARP1","NTC-4",0.101724804729001
"SPAG5","NTC-5",0.36873017535559
"CBX5","NTC-6",0.87396856605397
"COPS7A","NTC-6",0.726892891568317
"LYN","NTC-6",0.29391559593428
"NIT1","NTC-6",0.0817719315627216
"RRP12","NTC-6",0.298925947735883
"USP39","NTC-6",0.425909031180324
"BOLA2-SMG1P6","NTC-8",0.409913364939415
"FTSJ3","NTC-8",0.00594635900751203
"HIRIP3","NTC-8",0.402850504344948
"HSP90AA1","NTC-8",0.000129846239602238
"RALGDS","NTC-8",0.768644414187839
