"gene_id","gRNA_id","gRNA_type","p_value","z_value","log_fold_change"
"ACTN4","NTC-10","negative_control",0.247863381153035,-0.740870010813043,-0.0447809810079202
"ADAT3","NTC-10","negative_control",0.555852651489034,0.157848738416258,0.0175319648185781
"AJM1","NTC-10","negative_control",0.83093397788912,0.903416012939209,0.0898666898841229
"AMH","NTC-10","negative_control",0.591596477038403,0.219699281690315,0.0323748665877148
"APOE","NTC-10","negative_control",0.999721613696932,4.45023908441809,0.368856724393483
"ARHGAP19","NTC-10","negative_control",0.453825428100378,-0.201567068118494,-0.0348907140581272
"ATG4B","NTC-10","negative_control",0.29983279018497,-0.549644270016666,-0.0513970351536637
"AZI2","NTC-10","negative_control",0.72546360581004,0.539655241467637,0.0435449872242645
"B4GALT3","NTC-10","negative_control",0.733266733266733,0.541489440506712,0.0345999103520852
"C1orf174","NTC-10","negative_control",0.0465897248355813,-1.66988062188511,-0.116157142807971
"CA11","NTC-10","negative_control",0.0539903766752391,-1.54387666047977,-0.150469864184622
"CACFD1","NTC-10","negative_control",0.867639017947745,1.07708562358911,0.19876336778457
"CD46","NTC-10","negative_control",0.273702487156681,-0.572597316731256,-0.0325315400832289
"CDC42BPB","NTC-10","negative_control",0.813201177785771,0.787403804393472,0.111143903057135
"CDIPT","NTC-10","negative_control",0.0701627537402306,-1.4303720240385,-0.109978863387396
"CDT1","NTC-10","negative_control",0.400700683630327,-0.17224274045799,-0.0094132152866403
"CHKA","NTC-10","negative_control",0.189385964172596,-0.839914758071199,-0.0568987930014532
"CLPTM1","NTC-10","negative_control",0.889496436712714,1.18174962677864,0.0859126483214587
"CMC1","NTC-10","negative_control",0.234553707211941,-0.681954774177611,-0.0337714070648718
"CTU2","NTC-10","negative_control",0.469005797656794,-0.0687771570156827,-0.00546466753642194
"CYBA","NTC-10","negative_control",0.928865526857626,1.38918371985767,0.0670376279558413
"D2HGDH","NTC-10","negative_control",0.460833321007975,-0.182032197291517,-0.028963027960105
"DAGLB","NTC-10","negative_control",0.468531468531469,-0.122275918970261,-0.0239293904022713
"DDX50","NTC-10","negative_control",0.545512942683294,0.14088718062132,0.00923750127149242
"DDX5","NTC-10","negative_control",0.784284283260268,0.856384935367202,0.0358240065732089
"DHPS","NTC-10","negative_control",0.852147852147852,0.959649967286434,0.170243771752749
"DHRS13","NTC-10","negative_control",0.134694218844843,-0.996616853330943,-0.0730492794539066
"DNASE2","NTC-10","negative_control",0.858141858141858,1.02024756277278,0.0725581331206792
"EIF2AK1","NTC-10","negative_control",0.293706293706294,-0.549779696765319,-0.0226121990695483
"ERCC2","NTC-10","negative_control",0.83576438116406,0.891297029146228,0.105911685697412
"EXOC3L2","NTC-10","negative_control",0.147109453260387,-0.992019820814731,-0.219800368969945
"EXOC6","NTC-10","negative_control",0.810316991059324,0.84088202102502,0.0601049015141464
"EXOSC1","NTC-10","negative_control",0.534969688181285,0.0767691717613495,0.00449347316767076
"F11R","NTC-10","negative_control",0.179853707189331,-0.905711408253395,-0.105319888097418
"FAM222B","NTC-10","negative_control",0.991317506972525,2.4356918058046,0.173847811518008
"FBXO2","NTC-10","negative_control",0.943978435179346,1.56975059187898,0.290721542487512
"FBXO45","NTC-10","negative_control",0.504004597059806,0.0281436968002952,0.00245357043654093
"FRAT2","NTC-10","negative_control",0.100243239200585,-1.26423107944985,-0.209767998971342
"GAS6","NTC-10","negative_control",0.571837211551218,0.120035776082478,0.013361190482903
"GFI1B","NTC-10","negative_control",0.453606323187412,-0.104494366247032,-0.00835675611489312
"GGCX","NTC-10","negative_control",0.653884675670186,0.343419821571573,0.0272513758908841
"GINS4","NTC-10","negative_control",0.131819471159093,-1.14167235126279,-0.129811615304699
"GPR137","NTC-10","negative_control",0.39708681118991,-0.270417544086724,-0.0205572525300736
"GPSM1","NTC-10","negative_control",0.577382615481654,0.20690485205205,0.0415373215323021
"GRIN2D","NTC-10","negative_control",0.266359135794211,-0.6124245195099,-0.0882405389921441
"GTSF1","NTC-10","negative_control",0.538751673227084,0.0716061212647373,0.00292635632942129
"HBS1L","NTC-10","negative_control",0.640370354632393,0.325330104851062,0.0251184153374426
"HOOK2","NTC-10","negative_control",0.0323920089129169,-1.76375507348341,-0.176600500751181
"IFNGR1","NTC-10","negative_control",0.531067564527411,0.0446064334260104,0.00409470748413776
"INPP5E","NTC-10","negative_control",0.089841738774788,-1.23997723506226,-0.230865397977735
"JUNB","NTC-10","negative_control",0.029667150013245,-2.04248993494263,-0.159286661536757
"KDELR1","NTC-10","negative_control",0.149600010087026,-0.978348272996844,-0.0385405943474053
"LPAR5","NTC-10","negative_control",0.018187280495231,-1.89507146671311,-0.430998585106365
"LRP5","NTC-10","negative_control",0.177822177822178,-0.950852972514301,-0.145345212425343
"LSM7","NTC-10","negative_control",0.373496628870406,-0.259073769511329,-0.00919815082609077
"MAP3K5","NTC-10","negative_control",0.19767791955608,-0.878816633799354,-0.155392558904487
"MARVELD1","NTC-10","negative_control",0.448520986111361,-0.226275512384068,-0.053560714792992
"MED20","NTC-10","negative_control",0.0274370809526096,-1.82762701935797,-0.183487216843502
"MICAL1","NTC-10","negative_control",0.180617180084571,-0.887855246289044,-0.206164537928512
"MLF2","NTC-10","negative_control",0.259514689567563,-0.623073987534515,-0.0258799202286581
"MRPL22","NTC-10","negative_control",0.837162837162837,1.03247709751277,0.0418173556696519
"NDUFV1","NTC-10","negative_control",0.831091627710624,0.936675077684686,0.038408754888593
"NEIL2","NTC-10","negative_control",0.524404561757907,-0.0192799903884699,-0.00203300799145012
"NELFCD","NTC-10","negative_control",0.253783548397212,-0.632586510323349,-0.0337164754405615
"NIT1","NTC-10","negative_control",0.0238892789775988,-1.96502247497042,-0.161659399134676
"NUDT8","NTC-10","negative_control",0.513787951806892,0.0477766195852798,0.00314221564352199
"PCBD2","NTC-10","negative_control",0.931323066985687,1.46148831671703,0.138278797042501
"PCID2","NTC-10","negative_control",0.251315079169414,-0.67199644739204,-0.059908029350545
"PCYT1A","NTC-10","negative_control",0.284241403766983,-0.543154100959555,-0.0653227862895218
"PFDN2","NTC-10","negative_control",0.363636363636364,-0.308059254159019,-0.012389124931045
"PIGV","NTC-10","negative_control",0.263736263736264,-0.623866817080181,-0.0963262709968682
