"gene_id","gRNA_group","pair_type"
"C11orf95","nt","negative_control"
"CD3EAP","nt","negative_control"
"H3F3A","nt","negative_control"
"WARS","nt","negative_control"
"AARS","nt","negative_control"
"AC002472.2","nt","negative_control"
"AC003665.1","nt","negative_control"
"AC004475.1","nt","negative_control"
"AC004556.1","nt","negative_control"
"AC004967.1","nt","negative_control"
"AC004980.1","nt","negative_control"
"AC005726.1","nt","negative_control"
"AC006001.3","nt","negative_control"
"AC006453.2","nt","negative_control"
"AC006509.1","nt","negative_control"
"AC007326.4","nt","negative_control"
"AC007950.1","nt","negative_control"
"AC008026.1","nt","negative_control"
"AC008755.1","nt","negative_control"
"AC008770.4","nt","negative_control"
"AC008825.2","nt","negative_control"
"AC009053.1","nt","negative_control"
"AC009299.1","nt","negative_control"
"AC010186.2","nt","negative_control"
"AC010319.1","nt","negative_control"
"AC010343.1","nt","negative_control"
"AC010618.1","nt","negative_control"
"AC010761.1","nt","negative_control"
"AC010970.1","nt","negative_control"
"AC011043.1","nt","negative_control"
"AC011462.1","nt","negative_control"
"AC011481.1","nt","negative_control"
"AC011529.1","nt","negative_control"
"AC012435.1","nt","negative_control"
"AC013394.1","nt","negative_control"
"AC015802.6","nt","negative_control"
"AC017083.3","nt","negative_control"
"AC018709.1","nt","negative_control"
"AC018755.3","nt","negative_control"
"AC023794.4","nt","negative_control"
"AC024592.3","nt","negative_control"
"AC026412.1","nt","negative_control"
"AC026470.1","nt","negative_control"
"AC027559.1","nt","negative_control"
"AC040162.1","nt","negative_control"
"AC046144.1","nt","negative_control"
"AC060764.1","nt","negative_control"
"AC064862.1","nt","negative_control"
"AC073107.1","nt","negative_control"
"AC073111.5","nt","negative_control"
"AC073349.2","nt","negative_control"
"AC073585.1","nt","negative_control"
"AC073869.1","nt","negative_control"
"AC074143.1","nt","negative_control"
"AC079880.1","nt","negative_control"
"AC080038.1","nt","negative_control"
"AC087289.1","nt","negative_control"
"AC087633.2","nt","negative_control"
"AC087721.2","nt","negative_control"
"AC090502.4","nt","negative_control"
"AC090517.4","nt","negative_control"
"AC092070.2","nt","negative_control"
"AC092338.1","nt","negative_control"
"AC093323.1","nt","negative_control"
"AC093752.1","nt","negative_control"
"AC093827.5","nt","negative_control"
"AC093909.1","nt","negative_control"
"AC097374.1","nt","negative_control"
"AC098934.1","nt","negative_control"
"AC104389.4","nt","negative_control"
"AC104389.5","nt","negative_control"
"AC106795.1","nt","negative_control"
"AC109635.4","nt","negative_control"
"AC113398.1","nt","negative_control"
"AC114267.1","nt","negative_control"
"AC118549.1","nt","negative_control"
"AC119751.3","nt","negative_control"
"AC124319.1","nt","negative_control"
"AC124864.2","nt","negative_control"
"AC124944.3","nt","negative_control"
"AC124947.2","nt","negative_control"
"AC126177.6","nt","negative_control"
"AC129492.1","nt","negative_control"
"AC131206.1","nt","negative_control"
"AC132008.2","nt","negative_control"
"AC134878.2","nt","negative_control"
"AC138393.1","nt","negative_control"
"AC138409.2","nt","negative_control"
"AC139256.1","nt","negative_control"
"AC139769.1","nt","negative_control"
"AC141586.1","nt","negative_control"
"AC239868.1","nt","negative_control"
"AC240274.1","nt","negative_control"
"AC242376.2","nt","negative_control"
"AC244636.2","nt","negative_control"
"AC244669.1","nt","negative_control"
"AC245060.4","nt","negative_control"
"AC245297.1","nt","negative_control"
"AD000864.1","nt","negative_control"
"ADPRHL2","nt","negative_control"
"ADSSL1","nt","negative_control"
"ADSS","nt","negative_control"
"AES","nt","negative_control"
"AF274858.1","nt","negative_control"
"AL031777.3","nt","negative_control"
"AL135905.2","nt","negative_control"
"AL162231.1","nt","negative_control"
"AL354822.1","nt","negative_control"
"AL356534.1","nt","negative_control"
"AL359976.1","nt","negative_control"
"AL390334.1","nt","negative_control"
"AL390719.1","nt","negative_control"
"AL390728.4","nt","negative_control"
"AL390879.1","nt","negative_control"
"AL442128.1","nt","negative_control"
"AL512646.1","nt","negative_control"
