Gene Symbol,Description,Category,Gifts,GC Id,Relevance score, GeneCards Link
"POLG","DNA Polymerase Gamma, Catalytic Subunit","Protein Coding","46","GC15M090834","86.9682312011719","https://www.genecards.org/cgi-bin/carddisp.pl?gene=POLG"
"SDHA","Succinate Dehydrogenase Complex Flavoprotein Subunit A","Protein Coding","46","GC05P000208","85.6388549804688","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SDHA"
"MT-ATP6","Mitochondrially Encoded ATP Synthase Membrane Subunit 6","Protein Coding","33","GCMTP008531","81.2262725830078","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MT-ATP6"
"MT-ND1","Mitochondrially Encoded NADH:Ubiquinone Oxidoreductase Core Subunit 1","Protein Coding","32","GCMTP003309","79.1519088745117","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MT-ND1"
"MT-ND4","Mitochondrially Encoded NADH:Ubiquinone Oxidoreductase Core Subunit 4","Protein Coding","33","GCMTP010762","72.98046875","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MT-ND4"
"MT-ND5","Mitochondrially Encoded NADH:Ubiquinone Oxidoreductase Core Subunit 5","Protein Coding","33","GCMTP012339","71.9064178466797","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MT-ND5"
"MT-CO1","Mitochondrially Encoded Cytochrome C Oxidase I","Protein Coding","34","GCMTP005906","71.6145324707031","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MT-CO1"
"MT-ND3","Mitochondrially Encoded NADH:Ubiquinone Oxidoreductase Core Subunit 3","Protein Coding","33","GCMTP010061","68.5342864990234","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MT-ND3"
"TWNK","Twinkle MtDNA Helicase","Protein Coding","32","GC10P100993","68.0118408203125","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TWNK"
"MT-ND6","Mitochondrially Encoded NADH:Ubiquinone Oxidoreductase Core Subunit 6","Protein Coding","33","GCMTM014151","67.7560272216797","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MT-ND6"
"SLC25A4","Solute Carrier Family 25 Member 4","Protein Coding","47","GC04P185143","67.0068969726563","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC25A4"
"MT-CO3","Mitochondrially Encoded Cytochrome C Oxidase III","Protein Coding","32","GCMTP009209","66.7451934814453","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MT-CO3"
"TRMU","TRNA Mitochondrial 2-Thiouridylase","Protein Coding","38","GC22P046330","66.2575988769531","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRMU"
"MT-ND2","Mitochondrially Encoded NADH:Ubiquinone Oxidoreductase Core Subunit 2","Protein Coding","34","GCMTP004472","65.8453216552734","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MT-ND2"
"MT-CYB","Mitochondrially Encoded Cytochrome B","Protein Coding","32","GCMTP014749","64.6421432495117","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MT-CYB"
"MT-TL1","Mitochondrially Encoded TRNA-Leu (UUA/G) 1","RNA Gene","16","GCMTP003232","64.6266250610352","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MT-TL1"
"MT-CO2","Mitochondrially Encoded Cytochrome C Oxidase II","Protein Coding","34","GCMTP007587","60.8704681396484","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MT-CO2"
"TK2","Thymidine Kinase 2","Protein Coding","40","GC16M066508","58.7284736633301","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TK2"
"MT-TK","Mitochondrially Encoded TRNA-Lys (AAA/G)","RNA Gene","14","GCMTP008297","58.7085189819336","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MT-TK"
